Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,control_T4,rad21_T1,rad21_T2,rad21_T3,rad21_T4
CG1090,91.18638488,1.888420669,0.264173196,7.148418894,8.78E-13,1.74E-10,40.14308682,27.08176099,37.33006969,47.80008339,171.8889089,140.6709358,103.6315729,160.9446605
spz,1130.038183,2.471322905,0.345451983,7.153882525,8.44E-13,1.74E-10,543.6043006,328.9637437,334.8661873,175.4686606,2506.251188,2507.823235,1604.794694,1038.533456
qua,34.11323045,-4.697160127,0.657033496,-7.149042106,8.74E-13,1.74E-10,113.738746,35.84350719,61.62774819,50.82540513,0,7.276082888,1.992914864,1.601439408
mTerf3,171.6711482,-2.174524884,0.305944774,-7.107573215,1.18E-12,2.29E-10,212.4238344,230.1949684,221.3297623,464.0843539,49.90323162,65.48474599,60.28567463,69.66261425
CG9360,1002.943825,4.456846599,0.627276077,7.105079823,1.20E-12,2.29E-10,63.55988746,48.5878653,184.2205806,50.82540513,2262.279833,3300.91627,1288.419459,824.7412951
Ugt36D1,29.92039849,2.846144041,0.401044963,7.096820325,1.28E-12,2.38E-10,3.345257235,7.168701438,9.498183412,6.655707814,44.35842811,75.18618984,52.31401517,40.8367049
Men,518.0738217,-1.210765655,0.173451502,-6.98042761,2.94E-12,5.38E-10,819.5880225,830.7728444,632.1814169,611.7200545,343.7778178,259.513623,301.9266018,345.1101924
CG17716,1276.965725,2.729825088,0.393126861,6.943878322,3.81E-12,6.77E-10,361.2877813,289.934147,401.7952471,283.1701143,2794.580971,3216.028636,572.4647946,2296.464111
CG44325,448.5408317,2.506320576,0.361005685,6.94260694,3.85E-12,6.77E-10,175.6260048,109.1235663,116.4079688,133.7192206,1291.939219,868.2792246,307.9053464,585.3261036
Sh,275.3740646,2.056128807,0.297669384,6.907424541,4.94E-12,8.53E-10,112.0661174,66.90788008,128.1150321,115.5672902,543.3907443,531.1540508,234.1674965,471.6239056
CG42540,262.8142082,3.146433505,0.457200741,6.88195189,5.90E-12,1.00E-09,97.0124598,34.25046242,51.24601283,32.06841038,820.63092,613.6163235,206.2666884,247.4223885
trol,5922.92974,-0.856875625,0.125272936,-6.840069797,7.92E-12,1.32E-09,6688.841841,9119.384751,7465.79305,7248.065809,4358.215562,4028.524559,4199.569846,4275.0425
hid,201.4735367,-1.86764684,0.273200939,-6.836165511,8.13E-12,1.33E-09,202.3880627,317.015908,316.9742604,417.4943992,116.4408738,77.6115508,63.77327564,100.089963
btsz,779.5275333,1.299135823,0.19225959,6.757196471,1.41E-11,2.27E-09,408.1213826,332.1498333,559.2883814,494.3375713,1242.035987,989.5472728,976.0300545,1234.709784
CG34194,174.429343,-1.739796344,0.258793484,-6.722720816,1.78E-11,2.82E-09,259.2574357,277.9863113,330.4484275,198.4611057,99.80646324,82.46227273,94.16522731,52.84750046
Cyp12e1,104.2390231,1.516159117,0.225893315,6.711837039,1.92E-11,2.99E-09,48.5062299,61.33222341,43.73582129,66.55707814,133.0752843,138.2455749,167.9030773,174.5568955
Ubi-p5E,1588.869197,1.019543344,0.152229785,6.697397257,2.12E-11,3.25E-09,1127.351688,1088.049574,790.5581031,1197.422342,2173.562977,2090.66115,2192.704579,2050.643162
CG31999,46.09830252,2.478194933,0.371468207,6.671351379,2.53E-11,3.82E-09,8.363143087,11.15131335,19.21725481,13.31141563,88.71685621,87.31299466,47.82995673,92.88348566
ogre,41.15498117,2.811461372,0.422882663,6.648324982,2.96E-11,4.40E-09,6.690514469,7.965223819,14.13683113,9.075965201,72.08244567,118.8426872,54.80515875,45.64102313
thw,29.8765097,-2.854191362,0.436098149,-6.544837139,5.96E-11,8.57E-09,71.92303054,39.8261191,52.12956477,44.77476166,5.544803513,12.12680481,5.480515875,7.206477336
pav,71.08747492,-1.920549179,0.293438221,-6.544986449,5.95E-11,8.57E-09,120.4292604,84.43137249,134.9625596,117.9875476,22.17921405,19.4028877,34.87601011,34.43094727
CG15408,25.11566714,-6.213610041,0.955524372,-6.50282737,7.88E-11,1.12E-08,65.23251608,54.96004435,54.11755665,20.57218779,5.544803513,0,0.498228716,0
CG3091,65.21858069,2.292389561,0.354315633,6.469908039,9.81E-11,1.35E-08,25.08942926,18.32001478,22.97235058,21.78231648,110.8960703,118.8426872,53.3104726,150.5353043
GramD1B,2869.780094,1.624844805,0.251098928,6.470934863,9.74E-11,1.35E-08,1299.632436,1584.283018,1281.150321,1447.313917,5772.140457,5702.023623,3094.000326,2777.696653
zormin,870.7843482,1.404666789,0.217312346,6.463814949,1.02E-10,1.39E-08,500.1159566,518.5360706,330.6693155,557.8693277,1430.559306,1450.365856,897.8081461,1280.350807
CG11374,45.36108622,-2.570259568,0.399730501,-6.429981103,1.28E-10,1.71E-08,46.83360128,91.60007392,100.2831458,79.26342942,0,14.55216578,15.94331891,14.41295467
Ddc,77.82450469,3.729074768,0.58599288,6.363686142,1.97E-10,2.60E-08,5.017885852,18.32001478,12.81150321,5.445579121,238.4265511,235.2600134,40.85475471,66.45973543
CG3397,18.54283074,-7.056244493,1.11277716,-6.341111903,2.28E-10,2.97E-08,35.12520096,42.21568624,53.45489269,17.54686606,0,0,0,0
