Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,control_T4,esg_T1,esg_T2,esg_T3
mira,786.5864727,-1.92237243,0.271492965,-7.080744903,1.43E-12,1.91E-10,1029.45216,1516.521518,841.98151,1208.060562,402.6284092,285.1538302,222.3073191
Crag,1508.378114,-0.749439729,0.106144977,-7.060529408,1.66E-12,2.17E-10,1953.607823,1706.715657,1702.69563,1938.119718,1139.748112,1063.155624,1054.604233
wnd,105.5039965,1.897850337,0.268949737,7.056524242,1.71E-12,2.21E-10,63.3823574,40.25272776,53.24004864,37.46804375,177.5694523,180.4555582,186.1597875
CG11893,187.6813909,-3.247561104,0.461526732,-7.036561219,1.97E-12,2.51E-10,327.1347479,214.3457753,528.4567791,147.6013845,36.13331877,36.60183492,23.49589551
CG32407,397.5564111,-0.976305054,0.1398376,-6.981706307,2.92E-12,3.67E-10,483.5460492,494.1022333,518.5975109,517.7402409,284.937028,226.4206533,257.5511624
CG6044,70.92572919,2.57665138,0.369870615,6.966358708,3.25E-12,4.04E-10,18.40132957,34.2148186,18.73260971,19.30171951,112.5294785,167.6874763,125.6126722
Myo61F,935.4380652,1.336945552,0.194820997,6.862430492,6.77E-12,8.28E-10,502.9696749,675.2395082,659.5850471,423.5024339,1476.304167,1333.838961,1476.626664
nvy,47.217428,2.767534503,0.403356844,6.861255841,6.83E-12,8.28E-10,7.15607261,13.08213652,14.7889024,19.30171951,93.94662881,92.78139551,89.46514061
LanA,1395.931347,-0.855451738,0.125501536,-6.816265098,9.34E-12,1.12E-09,1934.184197,1644.323929,1827.908337,1500.99254,976.6319874,928.6651605,958.8132747
CG14696,789.011224,-0.7277993,0.106885606,-6.809142287,9.82E-12,1.15E-09,986.5157241,914.7432384,956.3490219,944.6488606,527.5464541,579.6709205,613.6043482
CG13704,825.7969123,0.786997229,0.115558825,6.810360264,9.74E-12,1.15E-09,637.9127584,605.8035528,626.063535,649.4460917,1199.626183,989.9519539,1071.774311
CG14764,347.2756253,1.19149746,0.178256214,6.684184695,2.32E-11,2.68E-09,209.5706979,195.2257297,263.2424627,228.2144483,447.0207723,519.2353326,568.4199338
CG14131,258.6732913,2.385726933,0.35703051,6.682137431,2.35E-11,2.68E-09,48.0479161,140.8845472,68.02895104,111.268736,503.8017018,487.7407305,450.9404562
ckn,241.9978087,1.295100043,0.193858601,6.680642687,2.38E-11,2.68E-09,155.3890052,133.8403198,136.0579021,171.444685,393.3369844,396.6617459,307.2540183
CG10126,406.497569,1.24265704,0.186149669,6.675580189,2.46E-11,2.75E-09,239.2172844,255.6048213,308.5950968,221.4020767,635.9464104,513.2768944,671.4403987
Ugt37D1,610.35195,1.66076764,0.249482967,6.656837793,2.80E-11,3.08E-09,220.8159548,343.1545042,370.7084869,332.6708127,817.6453848,885.2536819,1302.214824
rdog,233.8415174,1.860560613,0.280021885,6.644340001,3.05E-11,3.32E-09,107.3410892,74.46754636,149.8608777,107.8625502,351.0093824,358.3575001,487.9916761
CG32264,1468.055305,-0.850766937,0.128815955,-6.604515234,3.99E-11,4.30E-09,1946.45175,1598.033292,1900.866922,1813.226238,911.5920136,986.547132,1119.66979
CG10086,351.848942,1.667393437,0.252886398,6.593448485,4.30E-11,4.58E-09,199.347737,179.1246385,227.749097,121.4872934,484.1864716,566.0516331,684.9957231
Dic1,848.89838,-0.815620194,0.124205722,-6.566687755,5.14E-11,5.42E-09,1086.700741,1004.305558,1028.32168,1046.834434,652.464499,609.4631118,514.1986365
Patronin,1248.026176,-0.72335313,0.110906641,-6.522180478,6.93E-11,7.23E-09,1667.364918,1397.775972,1519.31324,1422.650267,897.1386861,876.7416273,955.1985215
CG6583,95.39432128,-1.566167107,0.240224311,-6.519602869,7.05E-11,7.27E-09,123.6978265,123.7771379,140.0016094,145.3305939,44.39236306,40.85786224,49.7028559
CG13321,1343.443447,1.320230853,0.202556579,6.51783743,7.13E-11,7.28E-09,788.1902832,868.4526015,1022.406119,593.8117237,1819.054505,2011.39851,2300.790384
CG6329,117.5997055,1.966748717,0.304579487,6.457259276,1.07E-10,1.08E-08,50.09250827,36.22745499,71.97265835,51.09278693,172.4075496,242.5935571,198.8114236
CG33116,344.1719766,1.490056607,0.231789276,6.42849674,1.29E-10,1.29E-08,154.3667092,220.3836845,154.7905118,246.3807725,556.4531091,474.9726486,601.8564005
CG9674,1897.511563,-0.712563048,0.110967762,-6.421351877,1.35E-10,1.34E-08,2440.22076,2347.740347,2334.674726,1989.212504,1386.48706,1451.305315,1332.940226
out,465.0718791,1.098537122,0.172474738,6.369263898,1.90E-10,1.86E-08,349.6252618,259.6300941,357.8914381,281.5780258,698.9216231,612.0167282,695.8399826
Cyp6a9,202.631493,-1.621589578,0.254881733,-6.362125507,1.99E-10,1.93E-08,216.7267705,339.1292314,258.3128286,325.8584411,112.5294785,80.01331356,85.85038746
ATP8B,755.132556,-1.816648618,0.28615729,-6.348426843,2.18E-10,2.09E-08,1149.060802,1094.874195,896.2074855,1217.143724,459.4093387,274.9393647,194.2929821
Fie,94.82893877,1.9616636,0.309152911,6.345285879,2.22E-10,2.11E-08,42.93643566,35.22113679,60.14153643,30.65567216,160.0189831,183.0091746,151.8196326
Pgant2,63.90398287,2.490054211,0.39330212,6.33114872,2.43E-10,2.29E-08,23.51281,23.14531846,18.73260971,20.43711477,90.8494872,95.3350119,175.3155281
LanB2,507.3250087,-0.96360314,0.152784653,-6.306936711,2.85E-10,2.65E-08,591.9094345,585.677189,655.6413398,731.1945507,365.4627099,298.7731176,322.6167192
CG33469,46.16490441,2.740856387,0.435093143,6.299470429,2.99E-10,2.76E-08,11.24525696,15.09477291,14.7889024,12.48934792,109.4323369,56.17956058,103.9241532
