Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,patr1_T1,patr1_T2,patr1_T3,esgTS_T1,esgTS_T2,esgTS_T3
fry,3391.1669350592297,1.305994938941869,0.09748297765469317,13.397158871859654,6.282235588235585e-41,1.0471915613262516e-38,5265.350018473961,4657.326856798773,4565.561428995075,2117.6536523787104,1759.9512562041236,1981.1583975047329
cd,105.22832373246236,5.596640218291336,0.4218252040521785,13.267676195088258,3.5646416776574515e-40,5.835827660850628e-38,202.91368648269219,199.7361881528469,215.84708736090576,4.437664820575671,3.447504909312681,4.987810668440918
Fas3,130.80996709318552,3.0050687281941495,0.22803318818517157,13.1782077517327,1.1714067596693903e-39,1.8841152934471876e-37,193.80858516616112,234.47291652725505,268.9612921041653,24.850922995223762,25.85628681984511,36.90979894646279
CG15347,322.58614174257474,1.8499684412972628,0.14040407697793186,13.176030789960844,1.2056933884462095e-39,1.905827066426698e-37,518.9907750422703,452.4458870766662,544.7031209840659,152.6556698278031,137.03832014517909,129.68307737946387
CG32521,358.0612106816136,-1.7085474396226665,0.13030841630943218,-13.111566297955198,2.8269898437929734e-39,4.392854726761692e-37,167.79400997607237,164.99945977843873,170.64350885600405,513.8815862226628,552.4626617173572,578.5860375391466
bab2,145.76659963816985,2.8292135175951545,0.2161071203257678,13.091718187398428,3.672061074727599e-39,5.610909322183772e-37,292.66397088849834,272.68331773910404,201.1559243468127,38.16391745695078,31.02754418381413,38.90492321383916
FucTA,673.6143773772484,1.455688366285526,0.11129740034678996,13.079266557437709,4.3259404891277036e-39,6.5016758039873424e-37,1050.9888376795852,989.9967586706324,921.0229120373727,327.4996637584846,380.0874162517231,372.0906758656925
CG6830,115.59889332798784,5.4528182656418025,0.41710096179512857,13.07313759760668,4.689080325069177e-39,6.933788454876486e-37,258.84502314138297,281.3674998327061,137.8709144399503,6.2127307488059405,4.309381136640852,4.987810668440918
Ugt37A3,117.12946163430539,6.106209265380177,0.46779234310139284,13.05324756898954,6.089518425433995e-39,8.861699194345852e-37,257.54429438187856,232.73608010853465,202.28601380943525,1.7750659282302685,3.447504909312681,4.987810668440918
CG13659,115.55023074623989,3.00680463963336,0.23043184068347689,13.048564081747418,6.475640496175623e-39,9.276355010771579e-37,221.1238891157543,214.49929771197034,180.81431401960694,23.075857066993493,25.85628681984511,27.931739743269144
plum,1021.5538520282983,1.3560330411032522,0.10407480196561505,13.029407844093402,8.32512283520731e-39,1.1742265562027787e-36,1478.928599556545,1446.7847367940997,1481.5472854981542,502.34365768916604,610.2083689483445,609.5104636834802
CG9005,342.75602741020293,-1.777902434293597,0.1367822112913315,-12.998053018070125,1.2549775319192092e-38,1.7432778807023196e-36,153.48599362152356,147.63109559123467,163.86297208026878,583.9966903877583,506.78322166896413,500.7761911114682
Ptp52F,204.2627206567183,2.2676161277919764,0.17449359348012566,12.9954119378615,1.2990639358742634e-38,1.7775848006112307e-36,327.7836473951181,367.3409025593662,319.81531792217976,87.8657634473983,62.91696459495643,59.85372802129102
sick,301.0006319397445,-2.108782437728109,0.1627232815986398,-12.959316067195982,2.080945935541083e-38,2.8056047554471542e-36,91.0510131653106,100.73651228578365,148.04171960355316,504.1187236173963,447.3137619833204,514.7420609831028
Tmhs,235.92304123921895,-2.1289581622589435,0.16574789370511783,-12.844556360074018,9.227941625472251e-38,1.2261125916279652e-35,80.6451830892751,78.15763884241835,105.09832002389653,397.6147679235802,343.0267384766118,410.9955990795317
AsnS,439.6406343461278,1.6042301595301975,0.12493338738092395,12.840684089024766,9.70134065765462e-38,1.270598444991108e-35,693.2884288158649,615.7085104363846,676.9235881109034,242.29649920343167,205.12654210410452,204.50023740607764
CG43349,128.73113304953503,2.661108522513601,0.21103869336730208,12.609576376982572,1.8699541904026997e-36,2.4146112700861903e-34,247.13846430584303,212.76246129324994,206.80637165992542,34.61378560049024,30.16566795648596,40.90004748121553
Nost,175.14541825079647,2.498531939514096,0.1984499752809977,12.590235579401151,2.3895914378673376e-36,3.04274643088441e-34,319.9792748380915,336.9462652317591,236.18869768811155,63.01484045217454,50.850697412362045,43.89273388228008
sol,504.4212565235867,-1.5792259207314565,0.12579723498145373,-12.553741113342289,3.791636146936556e-36,4.761879478782787e-34,214.62024531823212,249.2360260863785,293.8232602818613,775.7038106366274,730.0091645469603,763.1350322714605
tau,106.53627990921673,3.1770218011483022,0.2555624571351725,12.431488712240338,1.7631979528221668e-35,2.18445930155049e-33,187.30494136863894,199.7361881528469,188.72494025796473,32.83871967225997,14.651895864578895,15.960994139010939
rols,367.6982153448392,2.0319451415567658,0.16401329016900695,12.388905432376575,3.001115981182131e-35,3.668564175397037e-33,556.711909067899,571.4191817590141,643.0209042322272,116.2668182990826,123.24830050792835,195.522178202884
CG7992,155.18351597480265,-2.4980842537252563,0.20173579003560868,-12.382950260260293,3.2323818285368366e-35,3.8992732373718054e-33,58.532794177699664,38.21040121184897,45.203578504901735,275.13521887569163,232.706581378606,281.3125217000678
dsd,848.812458490291,1.2690728111223164,0.10306944034377839,12.31279423745238,7.729980407119195e-35,9.203696152268674e-33,1233.0908640102064,1161.9435641239527,1205.8054566182536,531.6322455049655,508.50697412362047,451.8956465607472
